x,y,L
-6,5.76102,5.76102
-5.92,5.53384,3.76976
-5.84,5.2758,2.15225
-5.76,4.9895,0.865041
-5.68,4.67767,-0.131881
-5.6,4.34317,-0.875301
-5.52,3.98896,-1.39894
-5.44,3.61808,-1.73363
-5.36,3.2336,-1.90748
-5.28,2.83863,-1.94602
-5.2,2.43629,-1.87238
-5.12,2.02966,-1.70739
-5.04,1.62178,-1.46978
-4.96,1.21564,-1.17628
-4.88,0.814117,-0.841753
-4.8,0.419995,-0.47934
-4.72,0.0359237,-0.100558
-4.64,0.335592,0.284573
-4.56,0.692207,0.667418
-4.48,1.03176,1.04062
-4.4,1.35226,1.39801
-4.32,1.65195,1.73448
-4.24,1.92926,2.04594
-4.16,2.18285,2.32918
-4.08,2.41158,2.58181
-4,2.61457,2.80218
-3.92,2.79117,2.98929
-3.84,2.94093,3.14276
-3.76,3.06366,3.26269
-3.68,3.15938,3.34968
-3.6,3.22833,3.40469
-3.52,3.27097,3.42905
-3.44,3.28797,3.42435
-3.36,3.28018,3.39246
-3.28,3.24863,3.33539
-3.2,3.19454,3.25535
-3.12,3.11927,3.15463
-3.04,3.02433,3.0356
-2.96,2.91133,2.90068
-2.88,2.78202,2.75228
-2.8,2.63822,2.5928
-2.72,2.48183,2.4246
-2.64,2.3148,2.24999
-2.56,2.13911,2.07115
-2.48,1.95676,1.8902
-2.4,1.76974,1.70911
-2.32,1.58005,1.52975
-2.24,1.38961,1.35381
-2.16,1.20031,1.18285
-2.08,1.01396,1.01828
-2,0.832294,0.861327
-1.92,0.656927,0.713065
-1.84,0.489374,0.574396
-1.76,0.331015,0.446058
-1.68,0.183098,0.32862
-1.6,0.0467192,0.222492
-1.52,0.0771772,0.127926
-1.44,0.18781,0.045022
-1.36,0.284565,-0.026264
-1.28,0.366995,-0.0861132
-1.2,0.434829,-0.134834
-1.12,0.487964,-0.172853
-1.04,0.526469,-0.200704
-0.96,0.550579,-0.219017
-0.88,0.560693,-0.228505
-0.8,0.557365,-0.229953
-0.72,0.5413,-0.224205
-0.64,0.513341,-0.212152
-0.56,0.474463,-0.194716
-0.48,0.425758,-0.172837
-0.4,0.368424,-0.147463
-0.32,0.303755,-0.119533
-0.24,0.233121,-0.0899626
-0.16,0.157956,-0.0596363
-0.08,0.0797441,-0.0293899
0,0,0
0.08,0.0797441,0.0278278
0.16,0.157956,0.0534701
0.24,0.233121,0.0763965
0.32,0.303755,0.0961787
0.4,0.368424,0.1125
0.48,0.425758,0.125162
0.56,0.474463,0.134093
0.64,0.513341,0.139351
0.72,0.5413,0.141132
0.8,0.557365,0.139767
0.88,0.560693,0.135732
0.96,0.550579,0.129637
1.04,0.526469,0.122235
1.12,0.487964,0.114413
1.2,0.434829,0.107185
1.28,0.366995,0.101692
1.36,0.284565,0.099184
1.44,0.18781,0.101017
1.52,0.0771772,0.108634
1.6,0.0467192,0.123552
1.68,0.183098,0.147344
1.76,0.331015,0.181616
1.84,0.489374,0.227986
1.92,0.656927,0.28806
2,0.832294,0.363401
2.08,1.01396,0.455497
2.16,1.20031,0.565729
2.24,1.38961,0.695334
2.32,1.58005,0.845363
2.4,1.76974,1.01664
2.48,1.95676,1.2097
2.56,2.13911,1.42478
2.64,2.3148,1.66172
2.72,2.48183,1.91991
2.8,2.63822,2.19827
2.88,2.78202,2.49515
2.96,2.91133,2.80825
3.04,3.02433,3.13458
3.12,3.11927,3.47039
3.2,3.19454,3.81104
3.28,3.24863,4.15095
3.36,3.28018,4.48352
3.44,3.28797,4.80101
3.52,3.27097,5.09446
3.6,3.22833,5.35358
3.68,3.15938,5.56665
3.76,3.06366,5.72039
3.84,2.94093,5.79985
3.92,2.79117,5.78833
4,2.61457,5.66716
4.08,2.41158,5.41568
4.16,2.18285,5.01102
4.24,1.92926,4.42797
4.32,1.65195,3.63887
4.4,1.35226,2.61343
4.48,1.03176,1.31855
4.56,0.692207,-0.281783
4.64,0.335592,-2.22674
4.72,0.0359237,-4.55877
4.8,0.419995,-7.32382
4.88,0.814117,-10.5715
4.96,1.21564,-14.3553
5.04,1.62178,-18.7327
5.12,2.02966,-23.7655
5.2,2.43629,-29.5201
5.28,2.83863,-36.0675
5.36,3.2336,-43.4835
5.44,3.61808,-51.8494
5.52,3.98896,-61.2516
5.6,4.34317,-71.7824
5.68,4.67767,-83.5397
5.76,4.9895,-96.6279
5.84,5.2758,-111.158
5.92,5.53384,-127.246
6,5.76102,-145.019
